"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Water Quality Data of Ground Water in Odisha Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1644","JAGATPUR INDUSTRIAL AREA, CUTTACK","ODISHA","28","28","6.9","6.9","364","364","1","1","3.15","3.15","1.8","1.8","1.8","1.8","216","216","0.3","0.3","",""
"1645","MADHUPATNA- KALYAN NAGAR AREA,
CUTTACK","ODISHA","28","28","6.9","6.9","265","265","1","1","1.13","1.13","1.8","1.8","1.8","1.8","160","160","0.2","0.2","",""
"1646","BIDANASHI - TULASIPUR AREA, CUTTACK","ODISHA","28","28","6.9","6.9","305","305","1","1","0.65","0.65","1.8","1.8","1.8","1.8","176","176","0.23","0.23","",""
"1647","BADAMBARI AREA, CUTTACK","ODISHA","28","28","7.1","7.1","165","165","1","1","0.76","0.76","1.8","1.8","1.8","1.8","120","120","0.29","0.29","",""
"1648","RANIHAT- MANGALABAG AREA,
CUTTACK","ODISHA","30","30","7.1","7.1","520","520","1","1","0.55","0.55","1.8","1.8","1.8","1.8","340","340","0.21","0.21","",""
"1649","KHANDAGIRI AREA, BHUBANESWAR","ODISHA","28","28","6.7","6.7","348","348","1.1","1.1","5.65","5.65","1.8","1.8","1.8","1.8","208","208","0.3","0.3","",""
"1650","CAPITAL HOSPITAL AREA,
BHUBANESWAR","ODISHA","28","28","6.5","6.5","375","375","1","1","0.57","0.57","1.8","1.8","1.8","1.8","228","228","0.31","0.31","",""
"1651","OLD TOWN- SAMANTARAPUR AREA,
BHUBANESWAR","ODISHA","29","29","6.9","6.9","440","440","1","1","0.85","0.85","1.8","1.8","1.8","1.8","300","300","0.26","0.26","",""
"1652","KALPANA - LAXMISAGAR AREA,
BHUBANESWAR","ODISHA","28","28","6.5","6.5","303","303","1","1","4.48","4.48","1.8","1.8","1.8","1.8","184","184","0.25","0.25","",""
"1653","MANCHESWAR INDUSTRIAL AREA,
BHUBANESWAR /
CHANDRASHEKHARPUR","ODISHA","28","28","5.6","5.6","220","220","1","1","7.47","7.47","130","130","280","280","132","132","0.33","0.33","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1654","SECRETARIAT- GOVERNOR HOUSE- OLD
BUS STAND AREA, BHUBANESWAR","ODISHA","28","28","6.8","6.8","370","370","1","1","4.12","4.12","1.8","1.8","1.8","1.8","220","220","0.28","0.28","",""
"1655","NEAR SEA BEACH, PURI","ODISHA","23","23","6.8","6.8","16400","16400","1","1","4.31","4.31","1.8","1.8","1.8","1.8","14440","14440","0.39","0.39","",""
"1656","NEAR JAGANNATH TEMPLE, PURI","ODISHA","23","23","7.3","7.3","1545","1545","1","1","16.72","16.72","1.8","1.8","1.8","1.8","1064","1064","0.29","0.29","",""
"1657","HOSPITAL - BUS STAND- MAUSHIMA
TEMPLE AREA, PURI","ODISHA","23","23","7.1","7.1","1081","1081","1","1","0.86","0.86","79","79","220","220","736","736","0.28","0.28","",""
"1658","BALIAPANDA, PURI","ODISHA","23","23","7.5","7.5","730","730","1","1","5.57","5.57","1.8","1.8","1.8","1.8","440","440","0.36","0.36","",""
"3964","NEAR MKCG MEDICAL COLLEGE,
BERHAMPUR","ODISHA","25","25","8.4","8.4","850","850","1","1","3.94","3.94","33","33","79","79","496","496","0.2","0.2","",""
"3965","NEAR BUS STAND, BERHAMPUR","ODISHA","26","26","8.5","8.5","890","890","1","1","0.69","0.69","1.8","1.8","1.8","1.8","536","536","0.31","0.31","",""
"3966","NEAR BADABAZAR, BERHAMPUR","ODISHA","26","26","8.4","8.4","1018","1018","1","1","15.03","15.03","1.8","1.8","1.8","1.8","608","608","0.29","0.29","",""
"3967","NEAR RAILWAY STATION STAND,
BERHAMPUR","ODISHA","27","27","8.5","8.5","780","780","1","1","7.67","7.67","1.8","1.8","1.8","1.8","520","520","0.2","0.2","",""
"3968","NEAR VSS MEDICAL COLLEGE, BURLA,
SAMBALPUR","ODISHA","26","26","7.2","7.2","640","640","1","1","0.49","0.49","1.8","1.8","1.8","1.8","468","468","0.33","0.33","",""
"3969","NEAR RAILWAY STATION, SAMBALPUR","ODISHA","25","25","7.3","7.3","1342","1342","1","1","8.38","8.38","220","220","540","540","924","924","0.21","0.21","",""
"3970","NEAR PANTHANIVAS, SAMBALPUR","ODISHA","26","26","7.2","7.2","298","298","1","1","6.57","6.57","1.8","1.8","1.8","1.8","188","188","0.35","0.35","",""
"3971","ANGUL TOWNSHIP","ODISHA","23","23","6.8","6.8","990","990","1","1","9.39","9.39","1.8","1.8","1.8","1.8","604","604","0.28","0.28","",""
"3972","NALCO TOWNSHIP, TALCHER","ODISHA","23","23","7.2","7.2","610","610","1","1","0.68","0.68","1.8","1.8","1.8","1.8","388","388","0.25","0.25","",""
"3973","MAHANADI COAL FIELD AREA, TALCHER","ODISHA","23","23","6.2","6.2","530","530","1","1","7.96","7.96","1.8","1.8","1.8","1.8","364","364","0.2","0.2","",""
"3974","KANIHA, TALCHER","ODISHA","23","23","7.2","7.2","550","550","1","1","0.48","0.48","1.8","1.8","1.8","1.8","368","368","0.32","0.32","",""
"3975","TALCHER TOWN","ODISHA","24","24","5.8","5.8","125","125","1","1","2.67","2.67","1.8","1.8","1.8","1.8","76","76","0.28","0.28","",""
"3976","MERAMUNDALI AREA, TALCHER","ODISHA","23","23","7.1","7.1","1130","1130","1","1","2.79","2.79","1.8","1.8","1.8","1.8","864","864","0.35","0.35","",""
"3977","TALCHER THERMAL AREA","ODISHA","22","22","7.1","7.1","1210","1210","1","1","0.62","0.62","1.8","1.8","1.8","1.8","804","804","0.38","0.38","",""
"3978","BANARPAL, TALCHER","ODISHA","22","22","6.6","6.6","960","960","1","1","4.48","4.48","1.8","1.8","1.8","1.8","684","684","0.21","0.21","",""
"3979","KULAD, TALCHER","ODISHA","22","22","6.9","6.9","940","940","1.1","1.1","3.85","3.85","1.8","1.8","1.8","1.8","556","556","1.19","1.19","",""
"3981","BURKHAMUNDA, JHARSUGUDA","ODISHA","28","28","7.1","7.1","196","196","1","1","4.02","4.02","1.8","1.8","1.8","1.8","124","124","0.28","0.28","",""
"3982","BADAMANI INDUSTRIAL ESTATE,
JHARSUGUDA","ODISHA","28","28","6.9","6.9","192","192","1","1","4.12","4.12","1.8","1.8","1.8","1.8","128","128","0.3","0.3","",""
"3983","BUDHIPADAR, JHARSUGUDA","ODISHA","29","29","6.7","6.7","146","146","1","1","0.38","0.38","1.8","1.8","1.8","1.8","88","88","0.36","0.36","",""
"3984","BRAJARAJ NAGAR MINING BELT,
JHARSUGUDA","ODISHA","29","29","7.1","7.1","185","185","1","1","1.82","1.82","1.8","1.8","1.8","1.8","108","108","0.28","0.28","",""
"3985","RAMPUR AREA (WATER TANK),
JHARSUGUDA","ODISHA","28","28","7.1","7.1","328","328","1","1","0.58","0.58","1.8","1.8","1.8","1.8","192","192","0.31","0.31","",""
"3986","IB THERMAL POWER STATION,
JHARSUGUDA","ODISHA","28","28","7.2","7.2","362","362","1","1","0.51","0.51","1.8","1.8","1.8","1.8","212","212","0.27","0.27","",""
"3987","BELPAHAR AREA, JHARSUGUDA","ODISHA","28","28","7.6","7.6","148","148","1","1","0.46","0.46","1.8","1.8","1.8","1.8","88","88","0.33","0.33","",""
"3988","BADAPADIA MARKET COMPLEX,
PARADEEP","ODISHA","29","29","8.5","8.5","2260","2260","1","1","1.86","1.86","1.8","1.8","1.8","1.8","1560","1560","0.31","0.31","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3989","MUSADIHA, PARADEEP","ODISHA","30","30","8.1","8.1","565","565","1","1","1.2","1.2","1.8","1.8","1.8","1.8","340","340","0.33","0.33","",""
"3991","SARUABIL, SUKINDA","ODISHA","23","23","6.6","6.6","240","240","1","1","3.05","3.05","1.8","1.8","1.8","1.8","144","144","0.2","0.2","",""
"3992","KALIAPANI, SUKINDA","ODISHA","23","23","6.6","6.6","234","234","1","1","0.44","0.44","1.8","1.8","1.8","1.8","140","140","0.2","0.2","",""
"3993","KAMARDA, SUKINDA","ODISHA","22","22","6.8","6.8","287","287","1","1","0.35","0.35","1.8","1.8","1.8","1.8","168","168","0.34","0.34","",""
"3994","CHAKULIA, BALASORE","ODISHA","25","25","7.4","7.4","221","221","1","1","0.63","0.63","1.8","1.8","1.8","1.8","136","136","0.2","0.2","",""
"3995","KUANRPUR, BALASORE","ODISHA","24","24","7.3","7.3","390","390","1","1","4.15","4.15","1.8","1.8","1.8","1.8","236","236","0.2","0.2","",""
"3996","NAIGOPALPUR, BALASORE","ODISHA","24","24","8.3","8.3","445","445","1","1","0.72","0.72","1.8","1.8","1.8","1.8","264","264","4.92","4.92","",""
"4862","MARKET COMPLEX, COURT CHHAK,
KHADIA ROAD, KENDRAPARA","ODISHA","29.6","29.6","7.9","7.9","710","710","1","1","0.33","0.33","1.8","1.8","1.8","1.8","420","420","0.29","0.29","",""
"4863","INSIDE GAJMARA UP SCHOOL,
GAJAMARA, DHENKANAL","ODISHA","22","22","5.7","5.7","75","75","1","1","0.33","0.33","1.8","1.8","1.8","1.8","48","48","0.29","0.29","",""
"4864","DHENKANAL DAILY MARKET AREA","ODISHA","22","22","6.3","6.3","420","420","1","1","0.43","0.43","79","79","350","350","288","288","0.31","0.31","",""
"4865","DISTRICT HEAD QUARTER HOSPITAL
PREMISES, BHADRAK","ODISHA","25","25","7.7","7.7","524","524","1","1","1.4","1.4","1.8","1.8","1.8","1.8","312","312","0.48","0.48","",""
"4866","SALANDI HOSPITAL PREMISES NEAR
UNAUTHORISED GARBAGE DISPOSAL SITE
BY THE SIDE OF NH, BHADRAK","ODISHA","25","25","7.8","7.8","360","360","1","1","0.6","0.6","1.8","1.8","1.8","1.8","212","212","0.94","0.94","",""
"4867","DHANGIDIMUTA VILLAGE (KUSUMI GP
OFFICE NEAR BADAMPAHAR MINING
AREA, MAYURBHANJ","ODISHA","25","25","7.3","7.3","172","172","1","1","0.5","0.5","1.8","1.8","1.8","1.8","112","112","0.27","0.27","",""
"4868","DHANGIDIMUTA VILLAGE (BASTI SAHI)
NEAR CATCH POND OF MINE RUN-OFF
WATER NEAR BADAPAHAR MINING
AREA, MAYURBHANJ","ODISHA","25","25","7.1","7.1","302","302","1","1","3.99","3.99","1.8","1.8","1.8","1.8","176","176","0.2","0.2","",""
"4869","JODA WEST MANGANESE MINE OF M/S
TATA STEEL LTD. (BICHHAKUNDI
COLONY), JODA, KEONJHAR","ODISHA","26","26","7.1","7.1","103","103","1","1","1.9","1.9","1.8","1.8","1.8","1.8","60","60","0.2","0.2","",""
"4870","BALDA BLOCK IRON ORE MINES OF M/S
SIRAJUDDIN & CO. (NEAR TIME OFFICE
INSIDE THE MINE LEASEHOLD AREA),
KEONJHAR","ODISHA","26","26","6.3","6.3","92","92","1","1","0.46","0.46","1.8","1.8","1.8","1.8","56","56","0.2","0.2","",""
"4871","ROIDA-II IRON ORE MINES OF M/S K N
RAM & CO., TANTO, BHADRASAHI,
BARBIL, KEONJHAR","ODISHA","26","26","6.3","6.3","90","90","1","1","0.66","0.66","1.8","1.8","1.8","1.8","64","64","0.32","0.32","",""
"4872","THAKURANI IRON ORE MINES OF M/S
KAYPEE ENTERPRISES NEAR VT CENTRE,
BARBIL, KEONJHAR","ODISHA","25","25","6.1","6.1","108","108","1","1","1.34","1.34","1.8","1.8","1.8","1.8","68","68","0.39","0.39","",""
"4873","DDM OFFICE, KOIRA PREMISES,
SUNDARGARH","ODISHA","26","27","6.9","7.1","90","176","1","1","0.47","0.55","1.8","1.8","1.8","1.8","64","112","0.2","0.43","",""
"4874","TENSA RESIDENTIAL AREA, KOIRA,
SUNDARGARH","ODISHA","26","27","6.8","7.2","231","275","1","1","0.38","0.75","1.8","1.8","1.8","1.8","140","172","0.2","0.27","",""
"4875","COLLECTOR OFFICE PREMISES, DEOGARH","ODISHA","29","29","6.6","6.6","455","455","1","1","0.41","0.41","1.8","1.8","1.8","1.8","296","296","0.2","0.2","",""
"4876","GOVT. MODEL DEGREE COLLAGE
PREMISES, DEOGARH","ODISHA","28","29","7.1","7.3","310","420","1","1","0.36","0.36","1.8","33","1.8","130","212","256","0.2","0.2","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4877","INSIDE THE PREMISES OF DISTRICT HEAD
QUARTER HOSPITAL, PARALAKHEMUNDI,
GAJAPATI","ODISHA","23","23","7.3","7.3","668","668","1","1","0.82","0.82","1.8","1.8","1.8","1.8","388","388","0.28","0.28","",""
"4878","NEAR SOLID WASTE DISPOSAL SITE OF
GAJAPATI MUNICIPALITY AT KELLY SAHI,
GAJAPATI","ODISHA","23","23","7.7","7.7","820","820","1","1","0.52","0.52","1.8","1.8","1.8","1.8","516","516","0.27","0.27","",""
"4879","INSIDE THE PREMISES OF DISTRICT HEAD
QUARTER HOSPITAL, PHULBANI","ODISHA","27","27","8","8","320","320","1","1","5.5","5.5","1.8","1.8","1.8","1.8","188","188","0.32","0.32","",""
"4880","NEAR SOLID WASTE DISPOSAL SITE OF
PHULBANI MUNICIPALITY AT DADA PUJA
MOUZA, PHULBANI","ODISHA","27","27","8.4","8.4","580","580","1","1","0.65","0.65","1.8","1.8","1.8","1.8","340","340","0.3","0.3","",""
"4881","INSIDE THE PREMISES OF DISTRICT HEAD
QUARTER HOSPITAL, NAYAGARH","ODISHA","28","28","8.2","8.2","1020","1020","1","1","1.67","1.67","1.8","1.8","1.8","1.8","696","696","0.2","0.2","",""
"4882","NEAR SOLID WASTE DISPOSAL SITE OF
NAYAGARH NAC AT BHALUKHOLA
VILLAGE, NAYAGARH","ODISHA","28","28","8.4","8.4","826","826","1","1","2.63","2.63","1.8","1.8","1.8","1.8","476","476","0.25","0.25","",""
"4883","NEAR BARGARH GOVT. HOSPITAL,
BARGARH","ODISHA","26","26","7.1","7.1","798","798","1","1","6.08","6.08","1.8","1.8","1.8","1.8","492","492","0.3","0.3","",""
"4884","NEAR GANAPATI GOVT. HOSPITAL,
BARGARH","ODISHA","25","25","7.1","7.1","1080","1080","1","1","8.91","8.91","1.8","1.8","1.8","1.8","664","664","0.2","0.2","",""
"4885","NEAR NUAPADA GOVT. HOSPITAL,
NUAPADA","ODISHA","28","28","7.3","7.3","520","520","1","1","2.51","2.51","49","49","350","350","304","304","0.24","0.24","",""
"4886","NEAR NILASAILA NAGAR (BACKSIDE OF
VETERINARY OFFICE, NUAPADA","ODISHA","27","27","7.6","7.6","370","370","1","1","0.71","0.71","130","130","350","350","216","216","0.2","0.2","",""
"4887","NEAR BOLANGIR MEDICAL COLLEGE,
BALANGIR","ODISHA","26","26","7.5","7.5","1210","1210","1","1","8.87","8.87","1.8","1.8","1.8","1.8","728","728","0.43","0.43","",""
"4888","NEAR SUDPADA POST OFFICE, BALANGIR","ODISHA","26","26","7.5","7.5","1390","1390","1","1","4.57","4.57","1.8","1.8","1.8","1.8","848","848","0.44","0.44","",""
"4889","NEAR TOWN GIRLS PRIMARY SCHOOL
AND IN FRONT OF HEAD POST OFFICE,
BOUDH","ODISHA","27","27","7.3","7.3","950","950","1","1","4.7","4.7","1.8","1.8","1.8","1.8","636","636","0.35","0.35","",""
"4890","NEAR BUTUPALLI CHHAK, MAULISINGHA
ROAD, BOUDH","ODISHA","28","28","7.4","7.4","680","680","1","1","2.43","2.43","1.8","1.8","1.8","1.8","396","396","0.35","0.35","",""
"4891","DISTRICT HEAD QUARTER HOSPITAL
CAMPUS, SONEPUR","ODISHA","26","26","7.8","7.8","640","640","1","1","2.5","2.5","79","79","240","240","412","412","0.36","0.36","",""
"4892","NEAR GUNDICHA TEMPLE AT TENTEL
GHAT, SONEPUR","ODISHA","27","27","8.1","8.1","810","810","1","1","4.7","4.7","1.8","1.8","1.8","1.8","572","572","0.38","0.38","",""
"4893","WITNIN THE PREMISES OF BURDELLA
PULLAMA TEMPLE, RAYAGADA","ODISHA","23","23","7.7","7.7","725","725","1","1","6.84","6.84","1.8","1.8","1.8","1.8","420","420","0.25","0.25","",""
"4894","KASTURI NAGAR, RAYAGADA","ODISHA","23","23","7.5","7.5","425","425","1","1","5.43","5.43","1.8","1.8","1.8","1.8","256","256","0.2","0.2","",""
"4895","BADACHINDRI, KORAPUT","ODISHA","25","25","6.6","6.6","580","580","1","1","16.65","16.65","1.8","1.8","1.8","1.8","360","360","0.23","0.23","",""
"4896","JAGANNATH TEMPLE, KORAPUT","ODISHA","19","19","6.9","6.9","97","97","1","1","0.36","0.36","1.8","1.8","1.8","1.8","56","56","0.22","0.22","",""
"4897","TOTAGUDA, NAWARANGPUR","ODISHA","25","25","7.1","7.1","112","112","1","1","0.47","0.47","1.8","1.8","1.8","1.8","68","68","0.2","0.2","",""
"4898","GABRALGUDA, NAWARANGPUR","ODISHA","24","24","7.1","7.1","790","790","1","1","15.76","15.76","1.8","1.8","1.8","1.8","460","460","0.28","0.28","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4899","GOSALPADA COLONY (WARD NO. 7),
BHAWANIPATNA","ODISHA","22","22","7.6","7.6","810","810","1","1","0.69","0.69","1.8","1.8","1.8","1.8","504","504","0.32","0.32","",""
"4900","SITABUDIPARA (IRRIGATION COLONY,
WARD NO. 17), BHAWANIPATNA","ODISHA","22","22","7.6","7.6","1214","1214","1","1","6.48","6.48","1.8","1.8","1.8","1.8","740","740","0.24","0.24","",""
"4901","MV-43, MALKANIGIRI","ODISHA","20","20","6.7","6.7","260","260","1","1","0.4","0.4","1.8","1.8","1.8","1.8","164","164","0.2","0.2","",""
"4902","TEKBADI OF NETAJI NAGAR,
MALKANIGIRI","ODISHA","22","22","6.9","6.9","764","764","1","1","2.12","2.12","1.8","1.8","1.8","1.8","476","476","0.2","0.2","",""
"4903","HAZARIBAGICHA PRIMARY SCHOOL,
HAZARIBAGICHA, KENDRAPARA","ODISHA","29.7","29.7","8.1","8.1","420","420","1","1","0.41","0.41","1.8","1.8","1.8","1.8","252","252","0.27","0.27","",""
"Water Quality Data of Ground Water in Puducherry Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1397","KRISHNA NAGAR BOREWELL, PUMPING
STATION, EAST COAST ROAD, LAWSPET,
NEAR DEPUTY COLLECTOR OFFICE,
PUDUCHERRY.","PUDUCHERRY","30","30","6.16","6.38","1123","1125","1","1","3.56","4.51","1.8","1600","1.8","1600","666","974","0.75","0.75","0.00049","0.00049"
"1398","THENGAITHITTU BOREWELL, PUMPING
STATION, II CROSS, PUDHU NAGAR,
THENGAITHITTU, PUDUCHERRY.","PUDUCHERRY","32","32","6.15","6.89","1897","3100","1","1","0.32","0.32","1.8","1.8","1.8","1.8","1318","2106","0.7","0.7","0.00049","0.00049"
"1453","MUTHIRAIPPALAYAM BOREWELL,
PUMPING STATION,
MUTHIRAIPPALAYAM, PUDUCHERRY.","PUDUCHERRY","30","32","6.21","6.34","840","923","1","1","3.05","3.16","1.8","130","1.8","130","462","538","0.3","0.3","0.00049","0.00049"
"1454","PONDICHERRY UNIVERSITY BOREWELL,
PUMPING STATION, STAFF QUARTERS,
PONDICHERRY UNIVERSITY CAMPUS,
KALAPET, PUDUCHERRY.","PUDUCHERRY","29","30","5.39","6.21","454","476","1","1","1.35","1.63","1.8","300","1.8","500","220","308","0.2","0.2","0.00049","0.00049"
"1687","CHETTY KOIL OPENWELL, CHETTY KOIL,
MISSION STREET, PUDUCHERRY.","PUDUCHERRY","29","30","6.78","7.08","1929","1971","1","1","1.03","1.91","1.8","1.8","1.8","1.8","1130","1152","0.3","0.3","0.00049","0.00049"
"1688","KATTERIKUPPAM BOREWELL, PUMPING
STATION, ERIKKARAI ROAD,
KATTERIKUPPAM, PUDUCHERRY.","PUDUCHERRY","29","30","6.88","7.03","906","919","1","1","0.5","1.42","1.8","1.8","1.8","1.8","453","550","0.2","0.2","0.00049","0.00049"
"2009","KURUMBAPET BOREWELL, PUMPING
STATION, GOPALAN KADAI ROAD,
KURUMBAPET, PUDUCHERRY.","PUDUCHERRY","30","30","6.19","6.33","583","636","1","1","2.65","3.02","1.8","1.8","1.8","1.8","340","413","0.36","0.36","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2010","METTUPALAYAM BOREWELL, PUMPING
STATION, PIPDIC INDUSTRIAL ESTATE,
METTUPALAYAM, PUDUCHERRY.","PUDUCHERRY","30","32","6.15","6.28","1000","1039","1","1","0.49","0.56","1.8","1.8","1.8","1.8","688","905","0.76","0.76","0.00049","0.00049"
"2011","URUVAIYAR BOREWELL, PUMPING
STATION, LAKSHMI NARASIMMAR
NAGAR, URUVAIYAR, PUDUCHERRY.","PUDUCHERRY","32","32","7.07","7.39","2370","2450","1","1","0.32","0.32","1.8","7","1.8","7","1342","1689","0.43","0.43","0.00049","0.00049"
"2012","MARUTHI SCHOOL BOREWELL, MARUTHI
SCHOOL, MARUTHI NAGAR,
KARUVADIKUPPAM, PUDUCHERRY.","PUDUCHERRY","30","30","6.42","6.46","1845","1946","1","1","1.17","1.24","1.8","1600","1.8","1600","1022","1425","0.52","0.52","0.00049","0.00049"
"2013","T.R.PATTINAM BOREWELL, PUMPING
STATION, NAGAPATTINAM MAIN ROAD,
T.R. PATTINAM, KARAIKAL, U.T OF
PUDUCHERRY.","PUDUCHERRY","33","34.5","8.1","8.25","1983","2020","1","1","0.32","0.32","1.8","1.8","1.8","16","1096","1191","0.89","0.89","0.00049","0.00049"
"2014","VADAMATTAM BOREWELL, PUMPING
STATION, KOTTUCHERRY - NEDUNKADU
ROAD, VADAMATTAM, KARAIKAL, U.T OF
PUDUCHERRY.","PUDUCHERRY","34","34","8.09","8.28","1529","1615","1","1","0.32","3.08","1.8","1.8","1.8","16","844","946","0.32","0.32","0.00049","0.00049"
"2446","PALLUR OPENWELL, GOVT HEALTH STAFF
QUARTERS CAMPUS, PALLUR, MAHE, U.T
OF PUDUCHERRY.","PUDUCHERRY","26","26","4.97","4.97","357","357","1","1","4.88","4.88","","","","","92","92","0.26","0.26","0.00049","0.00049"
"2447","PANDAKKAL OPENWELL, KIZHAKKU
EDUTHA COLONY, PANTHAKKAL, MAHE,
U.T OF PUDUCHERRY.","PUDUCHERRY","27","27","5.64","5.64","253","253","1","1","3.93","3.93","","","","","67","67","0.2","0.2","0.00049","0.00049"
"3882","ECHANGADU BOREWELL, PUMPING
STATION, PANITHITTU ROAD,
ECHANGADU, KIRUMAMPAKKAM,
PUDUCHERRY.","PUDUCHERRY","29","30","6.06","6.3","470","574","1","1","0.32","0.32","1.8","1.8","1.8","1.8","226","290","0.46","0.46","0.00049","0.00049"
